timestamp,loss_type,pnl_pct,entry_price,exit_price
2026-01-27 23:03:08,TREND_REVERSAL,-0.29,1.9210,1.9154
2026-01-28 00:16:58,UNKNOWN,-0.26,1.9190,1.9141
2026-01-28 02:47:14,TREND_REVERSAL,-0.26,1.9030,1.8981
2026-01-28 03:31:23,TREND_REVERSAL,-0.26,1.9027,1.8978
2026-01-28 04:28:07,TREND_REVERSAL,-0.25,1.9018,1.8970
2026-01-28 07:30:06,STOP_HUNT,-0.27,1.9224,1.9172
2026-01-28 12:48:32,STOP_HUNT,-0.29,1.9344,1.9288
2026-01-28 13:20:57,STOP_HUNT,-0.25,1.9331,1.9282
2026-01-28 14:03:22,UNKNOWN,-0.26,1.9349,1.9298
2026-01-28 14:39:12,TREND_REVERSAL,-0.27,1.9280,1.9227
2026-01-28 15:07:32,TREND_REVERSAL,-0.25,1.9235,1.9186
2026-01-28 15:47:32,TREND_REVERSAL,-0.25,1.9123,1.9075
2026-01-28 16:03:27,TREND_REVERSAL,-0.25,1.9104,1.9056
2026-01-28 16:41:57,TREND_REVERSAL,-0.27,1.9097,1.9046
2026-01-28 16:52:22,TREND_REVERSAL,-0.26,1.9091,1.9042
2026-01-28 20:00:03,STOP_HUNT,-0.27,1.9239,1.9188
2026-01-28 20:00:03,STOP_HUNT,-0.27,1.9239,1.9188
